cdatetime,address,district,beat,crimedescr,ucr_ncic_code
4225,825,2,6,160,2303
4226,4811,6,19,40,5012
4226,2700,6,19,184,7000
4226,3362,3,10,285,7000
4227,2048,1,2,269,7000
4228,3087,4,12,292,7000
4229,3944,5,15,2,2404
4229,3252,5,16,2,2404
4229,1071,6,18,100,1315
4229,4429,3,7,268,7000
4229,3680,6,19,146,2299
4230,3801,5,16,293,7000
4231,1407,4,11,69,1299
4232,2941,5,15,194,2999
4233,2528,6,17,194,2999
4234,2943,4,13,178,2803
4235,5039,2,5,1,2404
4236,1382,5,14,293,7000
4241,5369,5,16,207,4004
4242,860,2,6,184,7000
4243,3383,5,15,300,7000
4243,2075,1,2,143,2203
4244,5148,3,7,235,7000
4245,474,6,19,67,5401
4246,3641,5,16,208,5311
4246,3099,3,9,143,2203
4246,5198,5,14,293,7000
4247,2433,6,17,94,1315
4248,1341,4,11,294,7000
4249,4897,1,3,298,5400
4250,4024,3,9,291,7000
4250,3421,5,16,176,2399
4251,3633,6,18,292,7000
4252,4925,2,6,101,1315
4253,5405,2,6,298,5400
4254,5369,5,16,207,4004
4255,2307,6,18,267,7000
4256,1705,4,12,2,2404
4257,1860,1,3,21,3572
4258,4400,5,15,6,3532
4259,422,3,7,107,4199
4260,1749,5,14,100,1315
4261,3793,3,10,267,7000
4262,3923,5,16,67,5401
4263,2126,5,15,19,3599
4264,5123,5,14,293,7000
4265,2663,6,17,194,2999
4265,1068,2,5,59,5005
4304,3837,4,13,194,2999
4304,2820,4,13,145,2299
4304,941,6,19,172,2303
4304,2951,2,4,249,7000
4304,1677,3,9,194,2999
4305,2259,2,4,2,2404
4305,2947,1,1,145,2299
4305,3576,3,9,146,2299
4306,2496,6,17,293,7000
4307,388,3,7,184,7000
4308,3193,6,18,32,5212
4308,2409,6,18,214,5307
4309,1484,3,8,67,5401
4412,3488,4,13,2,2404
4412,2237,1,1,156,2399
4412,1934,1,2,145,2299
4413,3842,2,6,248,7000
4414,3972,3,9,222,7399
4415,4934,5,15,129,3599
4416,4111,3,9,80,5404
4417,4117,5,14,235,7000
4450,1332,2,6,22,3599
4451,5088,6,17,40,5012
4452,3527,6,19,2,2404
4453,2714,2,4,100,1315
4454,3939,5,14,2,2404
4455,2338,2,4,145,2299
4455,2277,2,5,165,2605
4455,5250,2,4,255,7000
4456,1859,3,7,235,7000
4457,1681,3,9,192,2999
4458,4172,6,19,192,2999
4459,5222,2,5,1,2404
4460,1390,3,8,297,5400
4461,5442,1,3,129,3599
4462,733,3,9,232,7000
4463,4789,6,19,297,5400
4464,2413,1,3,58,4902
4465,1807,6,17,287,7000
4466,2804,2,4,267,7000
4466,2067,1,1,2,2404
4466,4610,6,17,292,7000
4467,2848,6,19,235,7000
4468,4596,6,18,292,7000
