country,year,sex,age,suicides_no,population
1,1990,0,0,0.0,
1,1990,0,1,0.0,
1,1990,0,2,0.0,
1,1990,0,3,0.0,
1,1990,0,4,0.0,
1,1990,0,5,0.0,
1,1990,1,0,0.0,
1,1990,1,1,0.0,
1,1990,1,2,0.0,
1,1990,1,3,0.0,
1,1990,1,4,0.0,
1,1990,1,5,0.0,
1,1991,0,0,0.0,
1,1991,0,1,0.0,
1,1991,0,2,0.0,
1,1991,0,3,0.0,
1,1991,0,4,0.0,
1,1991,0,5,0.0,
1,1991,1,0,0.0,
1,1991,1,1,0.0,
1,1991,1,2,0.0,
1,1991,1,3,0.0,
1,1991,1,4,0.0,
1,1991,1,5,0.0,
1,1992,0,0,0.0,
1,1992,0,1,0.0,
1,1992,0,2,0.0,
1,1992,0,3,0.0,
1,1992,0,4,0.0,
1,1992,0,5,0.0,
1,1992,1,0,0.0,
1,1992,1,1,0.0,
1,1992,1,2,0.0,
1,1992,1,3,0.0,
1,1992,1,4,0.0,
1,1992,1,5,0.0,
1,1993,0,0,0.0,
1,1993,0,1,0.0,
1,1993,0,2,0.0,
1,1993,0,3,0.0,
1,1993,0,4,0.0,
1,1993,0,5,0.0,
1,1993,1,0,0.0,
1,1993,1,1,0.0,
1,1993,1,2,0.0,
1,1993,1,3,0.0,
1,1993,1,4,0.0,
1,1993,1,5,0.0,
1,1994,0,0,0.0,
1,1994,0,1,0.0,
1,1994,0,2,0.0,
1,1994,0,3,0.0,
1,1994,0,4,0.0,
1,1994,0,5,0.0,
1,1994,1,0,0.0,
1,1994,1,1,0.0,
1,1994,1,2,0.0,
1,1994,1,3,0.0,
1,1994,1,4,0.0,
1,1994,1,5,0.0,
1,1995,0,0,0.0,
1,1995,0,1,0.0,
1,1995,0,2,0.0,
1,1995,0,3,0.0,
1,1995,0,4,0.0,
1,1995,0,5,0.0,
1,1995,1,0,0.0,
1,1995,1,1,0.0,
1,1995,1,2,0.0,
1,1995,1,3,0.0,
1,1995,1,4,0.0,
1,1995,1,5,0.0,
1,2000,0,0,0.0,
1,2000,0,1,0.0,
1,2000,0,2,0.0,
1,2000,0,3,0.0,
1,2000,0,4,0.0,
1,2000,0,5,0.0,
1,2000,1,0,0.0,
1,2000,1,1,0.0,
1,2000,1,2,0.0,
1,2000,1,3,0.0,
1,2000,1,4,0.0,
1,2000,1,5,0.0,
1,2001,0,0,0.0,
1,2001,0,1,0.0,
1,2001,0,2,0.0,
1,2001,0,3,0.0,
1,2001,0,4,0.0,
1,2001,0,5,0.0,
1,2001,1,0,0.0,
1,2001,1,1,0.0,
1,2001,1,2,0.0,
1,2001,1,3,0.0,
1,2001,1,4,0.0,
1,2001,1,5,0.0,
1,2002,0,0,0.0,
1,2002,0,1,0.0,
1,2002,0,2,0.0,
1,2002,0,3,0.0,
1,2002,0,4,0.0,
1,2002,0,5,0.0,
1,2002,1,0,0.0,
1,2002,1,1,0.0,
1,2002,1,2,1.0,
1,2002,1,3,0.0,
1,2002,1,4,0.0,
1,2002,1,5,0.0,
1,2003,0,0,0.0,
1,2003,0,1,0.0,
1,2003,0,2,0.0,
1,2003,0,3,0.0,
1,2003,0,4,0.0,
1,2003,0,5,0.0,
1,2003,1,0,0.0,
1,2003,1,1,0.0,
1,2003,1,2,0.0,
1,2003,1,3,0.0,
1,2003,1,4,0.0,
1,2003,1,5,0.0,
1,2004,0,0,0.0,
1,2004,0,1,0.0,
1,2004,0,2,0.0,
1,2004,0,3,0.0,
1,2004,0,4,0.0,
1,2004,0,5,0.0,
1,2004,1,0,0.0,
1,2004,1,1,0.0,
1,2004,1,2,0.0,
1,2004,1,3,0.0,
1,2004,1,4,0.0,
1,2004,1,5,0.0,
1,2005,0,0,0.0,
1,2005,0,1,0.0,
1,2005,0,2,0.0,
1,2005,0,3,0.0,
1,2005,0,4,0.0,
1,2005,0,5,0.0,
1,2005,1,0,0.0,
1,2005,1,1,0.0,
1,2005,1,2,0.0,
1,2005,1,3,0.0,
1,2005,1,4,0.0,
1,2005,1,5,0.0,
1,2006,0,0,0.0,
1,2006,0,1,0.0,
1,2006,0,2,0.0,
1,2006,0,3,0.0,
1,2006,0,4,0.0,
1,2006,0,5,0.0,
1,2006,1,0,0.0,
1,2006,1,1,0.0,
1,2006,1,2,0.0,
1,2006,1,3,0.0,
1,2006,1,4,0.0,
1,2006,1,5,0.0,
1,2008,0,0,0.0,
1,2008,0,1,0.0,
1,2008,0,2,0.0,
1,2008,0,3,0.0,
1,2008,0,4,0.0,
1,2008,0,5,0.0,
1,2008,1,0,0.0,
1,2008,1,1,0.0,
1,2008,1,2,0.0,
1,2008,1,3,0.0,
1,2008,1,4,0.0,
1,2008,1,5,0.0,
1,2009,0,0,0.0,
1,2009,0,1,0.0,
1,2009,0,2,0.0,
1,2009,0,3,0.0,
1,2009,0,4,0.0,
1,2009,0,5,0.0,
1,2009,1,0,0.0,
1,2009,1,1,0.0,
1,2009,1,2,0.0,
1,2009,1,3,0.0,
1,2009,1,4,0.0,
1,2009,1,5,0.0,
1,2010,0,0,0.0,
1,2010,0,1,0.0,
1,2010,0,2,0.0,
1,2010,0,3,0.0,
1,2010,0,4,0.0,
1,2010,0,5,0.0,
1,2010,1,0,0.0,
1,2010,1,1,0.0,
1,2010,1,2,0.0,
1,2010,1,3,0.0,
1,2010,1,4,0.0,
1,2010,1,5,0.0,
1,2011,0,0,0.0,
1,2011,0,1,0.0,
1,2011,0,2,0.0,
1,2011,0,3,0.0,
1,2011,0,4,0.0,
1,2011,0,5,0.0,
1,2011,1,0,0.0,
1,2011,1,1,0.0,
1,2011,1,2,0.0,
1,2011,1,3,0.0,
1,2011,1,4,1.0,
1,2011,1,5,0.0,
1,2012,0,0,0.0,
1,2012,0,1,0.0,
1,2012,0,2,0.0,
1,2012,0,3,0.0,
1,2012,0,4,0.0,
1,2012,0,5,0.0,
1,2012,1,0,0.0,
1,2012,1,1,0.0,
1,2012,1,2,0.0,
1,2012,1,3,0.0,
1,2012,1,4,0.0,
1,2012,1,5,0.0,
1,2013,0,0,0.0,
1,2013,0,1,0.0,
1,2013,0,2,0.0,
1,2013,0,3,0.0,
1,2013,0,4,0.0,
1,2013,0,5,0.0,
1,2013,1,0,0.0,
1,2013,1,1,0.0,
1,2013,1,2,0.0,
1,2013,1,3,0.0,
1,2013,1,4,0.0,
1,2013,1,5,0.0,
1,2014,0,0,0.0,
1,2014,0,1,0.0,
1,2014,0,2,0.0,
1,2014,0,3,0.0,
1,2014,0,4,0.0,
1,2014,0,5,0.0,
1,2014,1,0,0.0,
1,2014,1,1,0.0,
1,2014,1,2,0.0,
1,2014,1,3,0.0,
1,2014,1,4,0.0,
